symbol,instrument_token,exchange,lot_size,tick_size,is_fno,sector
20MICRONS,4331777,NSE,1,0.01,false,
21STCENMGM,1025,NSE,1,0.01,false,
360ONE,3343617,NSE,1,0.1,true,
3IINFOLTD,0,NSE,1,0.05,false,
3MINDIA,121345,NSE,1,5.0,false,
3PLAND,664321,NSE,1,0.01,false,
5PAISA,113921,NSE,1,0.05,false,
63MOONS,3038209,NSE,1,0.05,false,
A2ZINFRA,5351937,NSE,1,0.01,false,
AAATECH,3208449,NSE,1,0.01,false,
AADHARHFC,6074625,NSE,1,0.05,false,
AAKASH,60161,NSE,1,0.01,false,
AAREYDRUGS,1342721,NSE,1,0.01,false,
AARNAV,0,NSE,1,0.05,false,
AARON,263681,NSE,1,0.01,false,
AARTECH,0,NSE,1,0.05,false,
AARTIDRUGS,1147137,NSE,1,0.05,false,
AARTIIND,1793,NSE,1,0.05,false,
AARTIPHARM,3550209,NSE,1,0.05,false,
AARTISURF,0,NSE,1,0.05,false,
AARVI,4882689,NSE,1,0.01,false,
AAVAS,1378561,NSE,1,0.1,false,
ABB,3329,NSE,1,0.5,true,
ABBOTINDIA,4583169,NSE,1,5.0,false,PHARMA
ABCAPITAL,5533185,NSE,1,0.05,true,
ABCOTS,194337281,NSE,1,0.01,false,
ABDL,6222849,NSE,1,0.05,false,
ABFRL,7707649,NSE,1,0.01,false,
ABINFRA,0,NSE,1,0.05,false,
ABLBL,193751809,NSE,1,0.01,false,
ABMINTLLTD,0,NSE,1,0.05,false,
ABREL,160001,NSE,1,0.1,false,
ABSLAMC,1540609,NSE,1,0.1,false,
ACC,5633,NSE,1,0.1,false,
ACCELYA,1805569,NSE,1,0.1,false,
ACCURACY,0,NSE,1,0.05,false,
ACE,3478273,NSE,1,0.1,false,
ACEINTEG,3015425,NSE,1,0.01,false,
ACI,3078145,NSE,1,0.05,false,
ACL,3947521,NSE,1,0.01,false,
ACMESOLAR,6927617,NSE,1,0.05,false,
ACUTAAS,1427969,NSE,1,0.1,false,
ADANIENSOL,2615553,NSE,1,0.1,true,
ADANIENT,6401,NSE,1,0.1,true,METAL
ADANIGREEN,912129,NSE,1,0.1,true,
ADANIPORTS,3861249,NSE,1,0.1,true,
ADANIPOWER,4451329,NSE,1,0.01,false,
ADFFOODS,5058817,NSE,1,0.05,false,
ADL,62721,NSE,1,0.01,false,
ADOR,8705,NSE,1,0.1,false,
ADROITINFO,1267969,NSE,1,0.01,false,
ADSL,3792129,NSE,1,0.01,false,
ADVAIT,194728193,NSE,1,0.1,false,
ADVANCE,194406913,NSE,1,0.01,false,
ADVANIHOTR,3774721,NSE,1,0.01,false,
ADVENTHTL,194500865,NSE,1,0.01,false,
ADVENZYMES,4617985,NSE,1,0.05,false,
AEGISLOG,10241,NSE,1,0.1,false,OIL_GAS
AEGISVOPAK,193878017,NSE,1,0.05,false,
AEPL,194900481,NSE,1,0.01,false,
AEQUS,194619905,NSE,1,0.01,false,
AEROENTER,3075841,NSE,1,0.01,false,
AEROFLEX,4676609,NSE,1,0.05,false,
AERONEU,3504385,NSE,1,0.01,false,
AETHER,2511361,NSE,1,0.1,false,
AFCONS,6650113,NSE,1,0.05,false,
AFFLE,2903809,NSE,1,0.1,false,
AFFORDABLE,6618881,NSE,1,0.01,false,
AFIL,6184705,NSE,1,0.01,false,
AFSL,3401729,NSE,1,0.01,false,
AGARIND,867585,NSE,1,0.05,false,
AGARWALEYE,7539713,NSE,1,0.05,false,
AGI,361473,NSE,1,0.05,false,
AGIIL,6257921,NSE,1,0.05,false,
AGRITECH,2834433,NSE,1,0.01,false,
AGROPHOS,2315777,NSE,1,0.01,false,
AHCL,194295809,NSE,1,0.01,false,
AHLADA,513025,NSE,1,0.01,false,
AHLEAST,4976129,NSE,1,0.01,false,
AHLUCONT,4565249,NSE,1,0.05,false,
AHLWEST,0,NSE,1,0.05,false,
AIAENG,3350017,NSE,1,0.1,false,
AIIL,6029569,NSE,1,0.05,false,
AIRAN,2533633,NSE,1,0.01,false,
AIROLAM,1553409,NSE,1,0.01,false,
AJANTPHARM,2079745,NSE,1,0.1,false,PHARMA
AJAXENGG,7583745,NSE,1,0.05,false,
AJMERA,4430593,NSE,1,0.01,false,
AJOONI,871169,NSE,1,0.01,false,
AKASH,3458561,NSE,1,0.01,false,
AKG,557057,NSE,1,0.01,false,
AKI,0,NSE,1,0.05,false,
AKSHAR,2446849,NSE,1,0.01,false,
AKSHARCHEM,0,NSE,1,0.05,false,
AKSHOPTFBR,0,NSE,1,0.05,false,
AKUMS,6327041,NSE,1,0.05,false,
ALANKIT,2539777,NSE,1,0.01,false,
ALBERTDAVD,4417537,NSE,1,0.05,false,
ALEMBICLTD,20225,NSE,1,0.01,false,
ALGOQUANT,194885121,NSE,1,0.01,false,
ALICON,3495937,NSE,1,0.05,false,
ALIVUS,1347841,NSE,1,0.1,false,
ALKALI,4341505,NSE,1,0.01,false,
ALKEM,2995969,NSE,1,0.5,true,PHARMA
ALKYLAMINE,1148673,NSE,1,0.1,false,
ALLCARGO,3456257,NSE,1,0.01,false,
ALLDIGI,3020289,NSE,1,0.05,false,
ALLTIME,194162689,NSE,1,0.01,false,
ALMONDZ,4280065,NSE,1,0.01,false,
ALOKINDS,4524801,NSE,1,0.01,false,
ALPA,3801089,NSE,1,0.01,false,
ALPHAGEO,0,NSE,1,0.05,false,
AMAGI,194749441,NSE,1,0.05,false,
AMANTA,0,NSE,1,0.05,false,
AMBER,303361,NSE,1,0.5,true,
AMBICAAGAR,2942977,NSE,1,0.01,false,
AMBIKCO,3899905,NSE,1,0.1,false,
AMBUJACEM,325121,NSE,1,0.05,true,
AMDIND,3685889,NSE,1,0.01,false,
AMIRCHAND,0,NSE,1,0.05,false,
AMJLAND,665089,NSE,1,0.01,false,
AMNPLST,5085953,NSE,1,0.01,false,
AMRUTANJAN,4492033,NSE,1,0.05,false,
ANANDRATHI,1829121,NSE,1,0.1,false,
ANANTRAJ,3486721,NSE,1,0.05,false,REALTY
ANDHRAPAP,42497,NSE,1,0.01,false,
ANDHRSUGAR,34817,NSE,1,0.01,false,
