symbol,name_of_company, series,fno_stock, date_of_listing, paid_up_value, market_lot, isin_number, face_value
20MICRONS,20 Microns Limited,eq,no,06-10-2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,eq,no,03-05-1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,eq,yes,19-09-2019,1,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,eq,no,22-10-2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,eq,no,13-08-2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,eq,no,19-07-1995,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,eq,no,16-11-2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,eq,no,20-06-2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,be,no,23-12-2010,10,1,INE619I01012,10
AAATECH,AAA Technologies Limited,eq,no,28-11-2022,10,1,INE0D0U01013,10
AADHARHFC,Aadhar Housing Finance Limited,eq,no,15-05-2024,10,1,INE883F01010,10
AAKASH,Aakash Exploration Services Limited,be,no,29-09-2020,1,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,eq,no,06-08-2021,10,1,INE198H01019,10
AARNAV,Aarnav Fashions Limited,eq,no,25-02-2026,10,1,INE750R01016,10
AARON,Aaron Industries Limited,eq,no,06-11-2020,10,1,INE721Z01010,10
AARTECH,Aartech Solonics Limited,eq,no,10-07-2023,5,1,INE01C001026,5
AARTIDRUGS,Aarti Drugs Limited,eq,no,19-09-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,eq,no,08-02-1995,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,eq,no,30-01-2023,5,1,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,eq,no,14-07-2020,10,1,INE09EO01013,10
AARVI,Aarvi Encon Limited,eq,no,24-06-2020,10,1,INE754X01016,10
AAVAS,Aavas Financiers Limited,eq,no,08-10-2018,10,1,INE216P01012,10
ABB,ABB India Limited,eq,yes,08-02-1995,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,eq,no,08-01-2010,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,eq,yes,01-09-2017,10,1,INE674K01013,10
ABCOTS,A B Cotspin India Limited,eq,no,24-09-2025,10,1,INE08PH01015,10
ABDL,Allied Blenders and Distillers Limited,eq,no,02-07-2024,2,1,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,eq,no,17-07-2013,10,1,INE647O01011,10
ABINFRA,A B Infrabuild Limited,eq,no,08-11-2024,1,1,INE00YB01025,1
ABLBL,Aditya Birla Lifestyle Brands Limited,eq,no,23-06-2025,10,1,INE14LE01019,10
ABMINTLLTD,ABM International Limited,be,no,09-09-2021,10,1,INE251C01025,10
ABREL,Aditya Birla Real Estate Limited,eq,no,27-06-2003,10,1,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,eq,no,11-10-2021,5,1,INE404A01024,5
ACC,ACC Limited,eq,no,20-11-1996,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,eq,no,01-12-1999,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,eq,no,11-12-2020,1,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,eq,no,26-09-2006,2,1,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,eq,no,04-11-2022,10,1,INE543V01017,10
ACI,Archean Chemical Industries Limited,eq,no,21-11-2022,2,1,INE128X01021,2
ACL,Andhra Cements Limited,eq,no,10-05-2023,10,1,INE666E01020,10
ACMESOLAR,Acme Solar Holdings Limited,eq,no,13-11-2024,2,1,INE622W01025,2
